,date,open,close,min,max,bullish
121,20001122.0,6646.0,6531.0,6495.5,6654.5,0
122,20001123.0,6539.0,6621.5,6482.0,6642.0,1
123,20001124.0,6649.0,6680.0,6588.0,6730.0,1
124,20001127.0,6736.0,6708.0,6695.0,6822.0,1
125,20001128.0,6697.0,6645.0,6622.5,6737.5,0
126,20001129.0,6599.0,6614.0,6547.0,6673.5,1
127,20001130.0,6560.0,6398.0,6375.5,6580.0,0
128,20001201.0,6485.0,6520.0,6465.5,6556.0,1
129,20001204.0,6510.0,6439.5,6354.0,6517.0,0
130,20001205.0,6482.0,6633.0,6474.0,6644.5,1
131,20001206.0,6700.0,6618.0,6618.0,6722.5,0
132,20001207.0,6581.0,6575.0,6504.0,6659.5,1
133,20001208.0,6606.0,6682.0,6605.0,6754.0,1
134,20001211.0,6749.0,6790.0,6731.5,6810.5,1
135,20001212.0,6789.0,6739.5,6733.0,6816.5,0
136,20001213.0,6790.0,6612.0,6585.0,6806.0,0
137,20001214.0,6565.0,6479.0,6447.5,6580.0,0
138,20001215.0,6396.0,6422.0,6392.0,6502.5,1
139,20001218.0,6463.0,6434.5,6424.5,6545.5,0
140,20001219.0,6452.5,6570.0,6375.0,6581.0,1
141,20001220.0,6445.0,6320.0,6287.0,6500.0,0
142,20001221.0,6288.5,6276.5,6170.5,6362.0,0
143,20001222.0,6319.0,6334.0,6262.0,6349.0,1
144,20001228.0,6442.0,6393.0,6386.5,6459.5,0
145,20010102.0,6470.0,6340.0,6336.0,6500.0,0
146,20010103.0,6297.0,6489.0,6226.5,6524.0,0
147,20010104.0,6574.5,6435.0,6418.0,6574.5,0
148,20010105.0,6470.0,6425.5,6396.5,6534.0,0
149,20010108.0,6414.0,6425.5,6405.0,6484.0,1
150,20010109.0,6507.0,6430.0,6406.5,6516.0,0
151,20010110.0,6460.0,6401.0,6338.5,6465.0,0
152,20010111.0,6398.5,6527.5,6385.5,6533.5,1
153,20010112.0,6535.0,6544.0,6517.5,6599.0,1
154,20010115.0,6567.5,6573.5,6537.5,6603.5,0
155,20010116.0,6580.0,6561.0,6496.0,6583.5,0
156,20010117.0,6601.0,6687.0,6601.0,6716.5,1
157,20010118.0,6665.0,6690.5,6635.0,6701.5,1
158,20010119.0,6750.0,6704.5,6676.0,6779.5,0
159,20010122.0,6710.0,6699.5,6639.0,6734.0,0
160,20010123.0,6702.0,6745.0,6646.0,6750.0,1
161,20010124.0,6768.0,6735.0,6727.0,6793.5,0
162,20010125.0,6739.0,6782.0,6716.0,6817.0,1
163,20010126.0,6719.0,6734.0,6691.5,6740.0,1
164,20010129.0,6737.5,6783.0,6698.5,6790.0,1
165,20010130.0,6784.0,6766.0,6743.0,6828.0,0
166,20010131.0,6782.0,6802.5,6756.0,6824.5,1
167,20010201.0,6778.0,6755.0,6738.0,6798.5,0
168,20010202.0,6785.0,6670.0,6660.5,6788.0,0
169,20010205.0,6637.0,6665.0,6630.5,6670.0,1
170,20010206.0,6674.0,6708.0,6652.0,6724.0,1
171,20010207.0,6672.0,6620.0,6619.0,6679.5,0
172,20010208.0,6634.0,6658.0,6612.5,6693.5,1
173,20010209.0,6631.0,6530.0,6527.5,6640.0,0
174,20010212.0,6542.0,6591.5,6530.5,6599.0,1
175,20010213.0,6608.0,6595.0,6568.5,6630.0,1
176,20010214.0,6555.0,6514.0,6477.5,6567.0,0
177,20010215.0,6532.0,6588.0,6506.0,6602.0,1
178,20010216.0,6538.0,6475.0,6475.0,6552.5,0
